id,name,country,water_type,area_sqm,elevation,length_m,lat,lon,os_map,google_sat,compactness,aspect_ratio,area_hectares
100,(unnamed),Scotland,,14136,690.2,273,57.12704,-4.56093,https://tarns.netlify.app/?id=100,"https://www.google.com/maps/@?api=1&map_action=map&center=57.12704,-4.56093&zoom=15&basemap=satellite",0.505,2.58,1.41
101,Lochan nan Cat,Scotland,,27212,689.6,209,56.57188,-4.46507,https://tarns.netlify.app/?id=101,"https://www.google.com/maps/@?api=1&map_action=map&center=56.57188,-4.46507&zoom=15&basemap=satellite",0.798,1.21,2.72
102,Seamore Tarn,England,,19954,688.3,300,54.64178,-2.41883,https://tarns.netlify.app/?id=102,"https://www.google.com/maps/@?api=1&map_action=map&center=54.64178,-2.41883&zoom=15&basemap=satellite",0.444,1.96,2.0
103,(unnamed),Scotland,,8807,688.2,138,57.13045,-4.86576,https://tarns.netlify.app/?id=103,"https://www.google.com/maps/@?api=1&map_action=map&center=57.13045,-4.86576&zoom=15&basemap=satellite",0.729,1.39,0.88
104,(unnamed),Scotland,,41796,687.9,329,57.69158,-4.9998,https://tarns.netlify.app/?id=104,"https://www.google.com/maps/@?api=1&map_action=map&center=57.69158,-4.9998&zoom=15&basemap=satellite",0.679,1.65,4.18
105,Loch a' Choire Mhoir,Scotland,,21178,687.7,214,57.58878,-5.51499,https://tarns.netlify.app/?id=105,"https://www.google.com/maps/@?api=1&map_action=map&center=57.58878,-5.51499&zoom=15&basemap=satellite",0.791,1.59,2.12
106,Little Rundale Tarn,England,,9326,687.5,186,54.63885,-2.41721,https://tarns.netlify.app/?id=106,"https://www.google.com/maps/@?api=1&map_action=map&center=54.63885,-2.41721&zoom=15&basemap=satellite",0.617,2.27,0.93
107,Coirein Lochain,Scotland,,19865,687.0,262,56.57183,-4.87447,https://tarns.netlify.app/?id=107,"https://www.google.com/maps/@?api=1&map_action=map&center=56.57183,-4.87447&zoom=15&basemap=satellite",0.632,1.91,1.99
108,(unnamed),England,,6273,686.6,137,54.63659,-2.41834,https://tarns.netlify.app/?id=108,"https://www.google.com/maps/@?api=1&map_action=map&center=54.63659,-2.41834&zoom=15&basemap=satellite",0.7,2.06,0.63
109,Dubh Lochan,Scotland,lake,48630,685.8,679,57.10222,-3.59019,https://tarns.netlify.app/?id=109,"https://www.google.com/maps/@?api=1&map_action=map&center=57.10222,-3.59019&zoom=15&basemap=satellite",0.484,4.58,4.86
110,(unnamed),Scotland,,9932,684.8,153,57.671,-5.05531,https://tarns.netlify.app/?id=110,"https://www.google.com/maps/@?api=1&map_action=map&center=57.671,-5.05531&zoom=15&basemap=satellite",0.652,1.43,0.99
111,(unnamed),Scotland,,8152,682.6,223,57.12625,-4.55951,https://tarns.netlify.app/?id=111,"https://www.google.com/maps/@?api=1&map_action=map&center=57.12625,-4.55951&zoom=15&basemap=satellite",0.658,4.01,0.82
112,Dearg Lochan,Scotland,,30076,682.2,282,57.08609,-4.40472,https://tarns.netlify.app/?id=112,"https://www.google.com/maps/@?api=1&map_action=map&center=57.08609,-4.40472&zoom=15&basemap=satellite",0.632,1.61,3.01
113,(unnamed),Scotland,lake,5262,681.5,247,57.10512,-3.58605,https://tarns.netlify.app/?id=113,"https://www.google.com/maps/@?api=1&map_action=map&center=57.10512,-3.58605&zoom=15&basemap=satellite",0.613,7.08,0.53
114,(unnamed),Scotland,,6515,681.0,143,57.1354,-4.56341,https://tarns.netlify.app/?id=114,"https://www.google.com/maps/@?api=1&map_action=map&center=57.1354,-4.56341&zoom=15&basemap=satellite",0.638,1.99,0.65
115,Loch Phadruig,Scotland,,32487,678.9,281,56.95853,-3.35631,https://tarns.netlify.app/?id=115,"https://www.google.com/maps/@?api=1&map_action=map&center=56.95853,-3.35631&zoom=15&basemap=satellite",0.687,1.01,3.25
116,(unnamed),Scotland,,11911,678.4,192,57.65908,-5.34146,https://tarns.netlify.app/?id=116,"https://www.google.com/maps/@?api=1&map_action=map&center=57.65908,-5.34146&zoom=15&basemap=satellite",0.672,2.01,1.19
